Time,Animal,Size
Before,1,9781.91
Before,1,37876.492
Before,1,15893.021
Before,1,44414.601
Before,1,13140.496
Before,1,14207.989
Before,1,16157.025
Before,1,49508.724
Before,1,6799.816
Before,1,36370.523
Before,1,31503.673
Before,1,21666.667
Before,1,5748.393
Before,1,5929.752
Before,1,34499.541
Before,1,38420.569
Before,1,40002.296
Before,1,28739.669
Before,1,41742.424
Before,1,6854.913
Before,1,29662.534
Before,1,42146.465
Before,1,19375.574
Before,1,11466.942
Before,1,41326.905
Before,1,18324.151
Before,1,11976.584
Before,1,13032.599
Before,1,43758.035
Before,1,33425.161
Before,1,32224.518
Before,1,14520.202
Before,1,17527.548
Before,1,6813.59
Before,1,3021.12
Before,1,25810.376
Before,1,6446.281
Before,1,46099.633
Before,1,19217.172
Before,1,26388.889
Before,1,6965.106
Before,1,27015.611
Before,1,21099.633
Before,1,8411.387
Before,1,43360.882
Before,1,15181.359
Before,1,11914.601
Before,1,4802.571
Before,1,5966.483
Before,1,24230.946
Before,1,25757.576
Before,1,21891.644
Before,1,20695.592
Before,1,12268.136
Before,1,16177.686
Before,1,8422.865
Before,1,22984.389
Before,1,11416.437
Before,1,19104.683
Before,1,14703.857
Before,1,19334.252
Before,1,53204.775
Before,1,1460.055
Before,1,15459.137
Before,1,10142.332
Before,1,7252.066
Before,1,18677.686
Before,1,18494.031
Before,1,28847.567
Before,1,28842.975
Before,1,30293.848
Before,1,33604.224
Before,1,9598.255
Before,1,21815.886
Before,1,3608.815
Before,1,36209.826
Before,1,38452.709
Before,1,1028.466
Before,1,26354.454
Before,1,15179.063
Before,1,11301.653
Before,1,18197.888
Before,1,7757.117
Before,1,10142.332
Before,1,11983.471
Before,1,5640.496
Before,1,20801.194
Before,1,14081.726
Before,1,13266.758
Before,1,36671.258
Before,1,26375.115
Before,1,12052.342
Before,1,11769.972
Before,1,32059.229
Before,1,39582.185
Before,1,4247.016
Before,1,1758.494
Before,1,38971.534
Before,1,34625.803
Before,1,36668.962
Before,1,31423.324
Before,1,10544.077
Before,1,12500
Before,1,4035.813
Before,1,7750.23
Before,1,16060.606
Before,1,18064.738
Before,1,31280.992
Before,1,31859.504
Before,1,5013.774
Before,1,43925.62
Before,1,14345.73
Before,1,927.456
Before,1,8829.201
Before,1,6170.799
Before,1,4439.853
Before,1,6088.154
Before,1,9779.614
Before,1,5195.133
Before,1,6196.051
Before,1,26056.015
Before,1,6519.743
Before,1,1168.503
Before,1,9641.873
Before,1,7734.16
Before,1,29010.56
Before,1,32008.724
Before,1,8011.938
Before,1,3264.463
Before,1,18971.534
Before,1,7738.751
Before,1,26347.567
Before,1,39616.621
Before,1,17922.406
Before,1,33767.218
Before,1,17300.275
Before,1,54155.188
Before,1,53810.836
Before,1,21845.73
Before,1,27233.701
Before,1,59944.904
Before,1,47963.728
Before,1,46827.365
Before,1,55537.19
Before,1,41290.174
Before,1,12894.858
Before,1,4522.498
Before,1,36262.626
Before,1,32098.255
Before,1,17265.84
Before,1,9191.919
Before,1,15828.742
Before,1,18422.865
Before,1,25557.851
Before,1,6797.521
Before,1,24334.252
Before,1,30789.715
Before,1,32819.1
Before,1,21276.4
Before,1,6905.418
Before,1,14857.668
Before,1,54185.032
Before,1,38227.732
Before,2,1974.288
Before,2,3129.017
Before,2,34717.631
Before,2,19040.404
Before,2,42610.193
Before,2,41336.088
Before,2,23861.341
Before,2,7075.298
Before,2,35723.14
Before,2,5778.237
Before,2,49407.713
Before,2,7612.489
Before,2,36352.158
Before,2,2646.924
Before,2,10893.021
Before,2,14908.173
Before,2,24882.92
Before,2,36053.719
Before,2,42187.787
Before,2,34729.109
Before,2,41831.956
Before,2,57350.781
Before,2,11228.191
Before,2,59772.727
Before,2,21485.308
Before,2,24566.116
Before,2,11476.125
Before,2,56689.624
Before,2,9003.673
Before,2,27222.222
Before,2,5831.038
Before,2,5043.618
Before,2,3349.403
Before,2,3138.2
Before,2,12362.259
Before,2,49260.79
Before,2,15153.811
Before,2,17766.299
Before,2,35573.921
Before,2,14983.93
Before,2,13227.732
Before,2,11326.905
Before,2,63737.374
Before,2,9644.169
Before,2,38764.922
Before,2,13613.407
Before,2,32004.132
Before,2,14460.514
Before,2,11421.028
Before,2,24797.98
Before,2,37102.847
Before,2,6044.536
Before,2,3544.536
Before,2,31101.928
Before,2,39970.156
Before,2,25771.35
Before,2,4196.511
Before,2,5904.5
Before,2,28615.702
Before,2,49628.099
Before,2,1958.219
Before,2,17566.575
Before,2,30723.14
Before,2,45241.047
Before,2,19485.767
Before,2,22376.033
Before,2,15300.735
Before,2,22660.698
Before,2,67020.202
Before,2,47566.575
Before,2,55906.795
Before,2,24807.163
Before,2,38126.722
Before,2,44520.202
Before,2,16687.328
Before,2,31228.191
Before,2,27876.492
Before,2,15725.436
Before,2,14226.354
Before,2,4297.521
Before,2,18356.29
Before,2,50146.924
Before,2,30686.41
Before,2,53347.107
Before,3,5865.473
Before,3,6046.832
Before,3,12029.385
Before,3,10254.821
Before,3,7548.209
Before,3,5518.825
Before,3,6090.45
Before,3,6228.191
Before,3,46499.082
Before,3,9230.946
Before,3,5550.964
Before,3,5633.609
Before,3,60713.958
Before,3,59426.079
Before,3,18191.001
Before,3,25397.153
Before,3,18937.098
Before,3,64350.321
Before,3,37350.781
Before,3,16476.125
Before,3,41124.885
Before,3,56423.324
Before,3,60688.705
Before,3,28693.756
Before,3,24467.401
Before,3,18907.254
Before,3,46099.633
Before,3,35016.07
Before,3,5872.36
Before,3,7304.867
Before,3,7219.927
Before,3,4072.544
Before,3,7913.223
Before,3,5243.343
Before,3,7488.522
Before,3,8370.064
Before,3,3976.125
Before,3,10769.054
Before,3,15945.822
Before,3,11717.172
Before,3,5245.638
Before,3,36414.141
Before,3,38259.871
Before,3,57263.545
Before,3,30098.714
Before,3,69708.448
Before,3,6994.949
Before,3,48106.061
Before,3,54485.767
Before,3,62261.249
Before,3,43914.141
Before,3,4756.657
Before,3,8360.882
Before,3,44455.923
Before,3,57415.06
Before,3,69685.491
Before,3,46577.135
Before,3,4513.315
Before,3,10709.366
Before,3,45633.609
Before,3,20296.143
Before,3,18278.237
Before,3,34198.806
Before,3,18174.931
Before,3,8824.61
Before,3,54837.006
Before,3,8165.748
Before,3,6751.607
Before,3,20812.672
Before,3,71565.657
Before,3,17213.039
Before,3,41303.949
Before,3,46522.039
Before,3,7614.784
Before,3,5431.589
Before,3,3569.789
Before,3,8829.201
Before,3,49400.826
Before,3,60156.107
Before,3,12286.501
Before,3,4444.444
Before,3,60133.15
Before,3,7591.827
Before,3,6056.015
Before,3,5080.349
Before,4,3443.526
Before,4,3122.13
Before,4,18367.769
Before,4,11623.049
Before,4,15592.287
Before,4,3402.204
Before,4,59435.262
Before,4,92681.359
Before,4,16333.792
Before,4,39164.371
Before,4,37288.797
Before,4,9288.338
Before,4,7213.039
Before,4,14155.188
Before,4,15059.688
Before,4,22513.774
Before,4,25746.097
Before,4,64497.245
Before,4,2038.567
Before,4,7272.727
Before,4,109146.006
Before,4,7759.412
Before,4,5461.433
Before,4,7401.286
Before,4,13174.931
Before,4,9993.113
Before,4,3340.22
Before,4,59481.175
Before,4,15073.462
Before,4,48076.217
Before,4,36283.287
Before,4,58305.785
Before,4,10296.143
Before,4,54814.05
Before,4,22433.425
Before,4,3193.297
Before,4,5140.037
Before,4,55897.612
Before,4,7855.831
Before,4,11850.321
Before,4,12995.868
Before,4,6609.275
Before,4,5888.43
Before,4,8179.522
Before,4,90918.274
Before,4,71320.018
Before,4,3337.925
Before,4,41225.895
Before,4,75351.24
Before,4,24054.178
Before,4,46831.956
Before,4,44517.906
Before,4,7819.1
Before,4,6409.55
Before,4,16949.036
Before,4,10858.586
Before,4,28335.629
Before,4,37885.675
Before,4,44554.637
Before,4,17860.422
Before,4,36627.64
Before,4,8725.895
Before,4,16701.102
Before,4,72532.14
Before,4,3106.061
Before,4,8372.36
Before,4,57706.612
Before,4,9040.404
Before,4,43758.035
Before,4,14056.474
Before,4,58363.177
Before,4,15073.462
Before,4,54180.441
Before,4,13842.975
Before,4,14908.173
Before,4,26675.849
Before,4,16889.348
Before,4,34995.409
Before,5,3714.417
Before,5,12027.089
Before,5,28909.55
Before,5,34366.391
Before,5,41949.036
Before,5,4295.225
Before,5,15477.502
Before,5,40727.732
Before,5,4380.165
Before,5,56960.514
Before,5,3744.261
Before,5,32249.77
Before,5,48089.991
Before,5,6140.955
Before,5,47252.066
Before,5,1354.454
Before,5,20658.861
Before,5,3535.354
Before,5,30679.522
Before,5,21880.165
Before,5,509.642
Before,5,13443.526
Before,5,10968.779
Before,5,7649.219
Before,5,6558.77
Before,5,2734.16
Before,5,36772.268
Before,5,28820.018
Before,5,5084.94
Before,5,20541.781
Before,5,9905.877
Before,5,33202.479
Before,5,68551.423
Before,5,3273.646
Before,5,38895.776
Before,5,25879.247
Before,5,43170.34
Before,5,21861.8
Before,5,39453.627
Before,5,22727.273
Before,5,4026.63
Before,5,867.769
Before,5,4198.806
Before,5,2665.289
Before,5,45736.915
Before,5,65943.526
Before,5,44908.173
Before,5,32327.824
Before,5,24455.923
Before,5,43817.723
Before,5,38241.506
Before,5,9044.995
Before,5,3585.859
Before,5,34097.796
Before,5,1988.062
Before,5,23891.185
Before,5,38927.916
Before,5,5943.526
Before,5,40716.253
Before,5,40975.666
Before,5,5291.552
Before,5,6209.826
Before,5,40371.901
Before,5,19797.98
Before,5,43535.354
Before,5,16356.749
Before,5,5691.001
Before,5,47252.066
Before,5,36877.87
Before,5,7812.213
Before,5,3255.28
Before,5,62713.499
Before,5,29049.587
Before,5,1276.4
Before,5,19692.378
Before,5,15730.028
Before,5,1483.012
Before,5,2004.132
Before,5,69015.152
Before,5,6597.796
Before,5,37727.273
Before,5,39152.893
Before,5,26221.304
Before,5,57254.362
Before,5,49676.309
Before,5,13514.692
After,1,5222.681
After,1,2963.728
After,1,2268.136
After,1,8193.297
After,1,11290.174
After,1,3195.592
After,1,7151.056
After,1,12764.004
After,1,11733.242
After,1,45881.543
After,1,6581.726
After,1,17646.924
After,1,3188.705
After,1,1386.593
After,1,21033.058
After,1,4481.175
After,1,1609.275
After,1,47759.412
After,1,752.984
After,1,42881.084
After,1,38698.347
After,1,21179.982
After,1,12768.595
After,1,18259.871
After,1,3250.689
After,1,1873.278
After,1,20633.609
After,1,10390.266
After,1,20803.489
After,1,46466.942
After,1,38934.803
After,1,20943.526
After,1,25709.366
After,1,4993.113
After,1,10312.213
After,1,2408.173
After,1,9074.839
After,1,3179.522
After,1,8053.26
After,1,9857.668
After,1,8611.111
After,1,10107.897
After,1,16678.145
After,1,17086.777
After,1,16884.757
After,1,1831.956
After,1,10909.091
After,1,15094.123
After,1,3117.539
After,1,9081.726
After,1,12878.788
After,1,10119.376
After,1,12153.352
After,1,5530.303
After,1,10156.107
After,1,53397.612
After,1,5748.393
After,1,14876.033
After,1,2311.754
After,1,2894.858
After,1,8553.719
After,1,20307.622
After,1,18879.706
After,1,12256.657
After,1,20814.968
After,1,1393.48
After,1,2134.986
After,1,8161.157
After,1,49175.849
After,1,19476.584
After,1,15234.16
After,1,9784.206
After,1,9983.93
After,1,17741.047
After,1,22481.635
After,1,18115.243
After,1,2357.668
After,1,11320.018
After,1,32504.591
After,1,10190.542
After,1,28886.593
After,1,11666.667
After,1,18122.13
After,1,43475.666
After,1,53735.078
After,1,15752.984
After,1,12479.339
After,1,15055.096
After,1,13801.653
After,1,13801.653
After,1,11951.331
After,2,17258.953
After,2,5893.021
After,2,7578.053
After,2,4345.73
After,2,1253.444
After,2,4820.937
After,2,6184.573
After,2,11005.51
After,2,3011.938
After,2,5252.525
After,2,6065.197
After,2,2132.691
After,2,12511.478
After,2,4811.754
After,2,9524.793
After,2,37242.883
After,2,10401.745
After,2,46673.554
After,2,41884.757
After,2,5280.073
After,2,8367.769
After,2,8317.264
After,2,60466.024
After,2,30833.333
After,2,6710.285
After,2,1664.371
After,2,1701.102
After,2,3941.69
After,2,1124.885
After,2,5137.741
After,2,1932.966
After,2,4106.979
After,2,11586.318
After,2,21756.198
After,2,2747.934
After,2,13624.885
After,2,38826.905
After,2,2082.185
After,2,24834.711
After,2,12215.335
After,2,19568.411
After,2,15640.496
After,2,7001.837
After,2,32936.18
After,2,2300.275
After,2,10371.901
After,2,8477.961
After,2,33181.818
After,2,1962.81
After,2,2203.857
After,2,7910.927
After,2,3294.307
After,2,1836.547
After,2,9864.555
After,2,5259.412
After,2,33124.426
After,2,30325.987
After,2,14104.683
After,2,3347.107
After,2,36340.68
After,2,4717.631
After,2,21037.649
After,2,27807.622
After,2,8774.105
After,2,7497.704
After,2,41239.669
After,2,9908.173
After,2,9591.368
After,2,12199.265
After,2,27612.489
After,2,32511.478
After,2,1202.938
After,2,13696.051
After,2,11643.71
After,2,3321.855
After,2,6671.258
After,2,7803.03
After,2,18907.254
After,2,6531.221
After,2,26852.617
After,2,6457.759
After,2,3879.706
After,2,14915.06
After,2,4637.282
After,2,5358.127
After,2,7206.152
After,2,14889.807
After,2,16533.517
After,2,12667.585
After,2,4488.062
After,2,4965.565
After,2,35798.898
After,2,5325.987
After,2,2077.594
After,2,34120.753
After,2,1384.298
After,2,2904.04
After,2,2582.645
After,2,1455.464
After,2,2793.848
After,2,11244.261
After,2,35309.917
After,2,11370.523
After,2,6345.271
After,2,15426.997
After,2,4648.76
After,2,2525.253
After,2,4504.132
After,2,3684.573
After,2,1836.547
After,2,1737.833
After,3,2571.166
After,3,10344.353
After,3,10477.502
After,3,30812.672
After,3,11875.574
After,3,32467.86
After,3,22038.567
After,3,32669.881
After,3,23305.785
After,3,37853.535
After,3,8402.204
After,3,3950.872
After,3,9341.139
After,3,14407.713
After,3,11838.843
After,3,22646.924
After,3,12249.77
After,3,24407.713
After,3,14455.923
After,3,20943.526
After,3,11946.74
After,3,32229.109
After,3,5603.765
After,3,34286.042
After,3,14387.052
After,3,9426.079
After,3,6595.5
After,3,21097.337
After,3,9125.344
After,3,19912.764
After,3,16333.792
After,3,37325.528
After,3,12876.492
After,3,14896.694
After,3,5365.014
After,3,54641.873
After,3,12458.678
After,3,6168.503
After,3,15121.671
After,3,18707.53
After,3,12626.263
After,3,33769.513
After,3,23165.748
After,3,20544.077
After,3,4715.335
After,3,16808.999
After,3,34903.581
After,3,1641.414
After,3,14313.59
After,3,29758.953
After,3,9898.99
After,3,3083.104
After,3,9210.285
After,3,10828.742
After,3,40466.024
After,3,12054.637
After,3,8960.055
After,3,7557.392
After,3,34393.939
After,3,15238.751
After,3,12497.704
After,3,12114.325
After,3,20509.642
After,3,7897.153
After,3,4977.043
After,3,8810.836
After,3,38448.118
After,3,33512.397
After,4,6179.982
After,4,18438.935
After,4,5080.349
After,4,6189.164
After,4,2247.475
After,4,4407.713
After,4,12959.137
After,4,15984.848
After,4,18581.267
After,4,4104.683
After,4,4040.404
After,4,8115.243
After,4,4763.545
After,4,507.346
After,4,5959.596
After,4,25174.472
After,4,20022.957
After,4,12640.037
After,4,1815.886
After,4,22077.594
After,4,23909.55
After,4,4008.264
After,4,20298.439
After,4,2240.588
After,4,5952.709
After,4,12513.774
After,4,19731.405
After,4,2786.961
After,4,7029.385
After,4,4423.783
After,4,7757.117
After,4,13643.251
After,4,6078.972
After,4,9735.996
After,4,6926.079
After,4,10135.445
After,4,23487.144
After,4,32314.05
After,4,18145.087
After,4,2860.422
After,4,1659.78
After,4,23415.978
After,4,15192.837
After,4,2382.92
After,4,3709.826
After,4,8184.114
After,4,14460.514
After,4,5319.1
After,4,6567.952
After,4,11345.271
After,4,30144.628
After,4,21701.102
After,4,4056.474
After,4,6664.371
After,4,6464.646
After,4,8011.938
After,4,2479.339
After,4,5011.478
After,4,2589.532
After,4,3971.534
After,4,4242.424
After,4,4552.342
After,4,3211.662
After,4,13714.417
After,4,2022.498
After,4,6717.172
After,4,6496.786
After,4,12213.039
After,4,2109.734
After,4,33204.775
After,4,29251.607
After,4,29715.335
After,4,27378.329
After,4,9003.673
After,4,11698.806
After,4,2460.973
After,4,4008.264
After,4,6225.895
After,4,30257.117
After,4,4348.026
After,4,15098.714
After,4,19072.544
After,4,6101.928
After,4,8787.879
After,4,11115.702
After,4,6170.799
After,4,6623.049
After,4,25686.41
After,4,23457.3
After,4,8861.341
After,4,7190.083
After,5,3638.659
After,5,8420.569
After,5,3705.234
After,5,6971.993
After,5,18317.264
After,5,30537.19
After,5,3526.171
After,5,3682.277
After,5,6744.72
After,5,9416.896
After,5,17116.621
After,5,34412.305
After,5,4263.085
After,5,3792.47
After,5,16958.219
After,5,1923.783
After,5,2949.954
After,5,9042.7
After,5,21726.354
After,5,4439.853
After,5,5883.838
After,5,4857.668
After,5,5539.486
After,5,7353.076
After,5,37178.604
After,5,1499.082
After,5,13468.779
After,5,33503.214
After,5,19928.834
After,5,10431.589
After,5,20000
After,5,23487.144
After,5,6400.367
After,5,22245.179
After,5,10162.994
After,5,13179.522
After,5,10484.389
After,5,24772.727
After,5,10856.29
After,5,19012.856
After,5,33131.313
After,5,36117.998
After,5,8303.489
After,5,7224.518
After,5,9288.338
After,5,11019.284
After,5,3340.22
After,5,610.652
After,5,3363.177
After,5,3521.579
After,5,7685.95
After,5,9279.155
After,5,3078.512
After,5,4189.624
After,5,8310.376
After,5,5381.084
After,5,4513.315
After,5,6274.105
After,5,7224.518
After,5,10787.42
After,5,7736.455
After,5,8427.456
After,5,1336.088
After,5,4306.703
After,5,1251.148
After,5,9258.494
After,5,2199.265
After,5,5176.768
After,5,5328.283
After,5,7718.09
After,5,3691.46
After,5,8126.722
After,5,10445.363
After,5,9428.375
After,5,6248.852
After,5,8388.43
After,5,2341.598
After,5,6753.903
After,5,6285.583
After,5,6441.69
After,5,9947.199
After,5,8415.978
After,5,1464.646
After,5,12139.578
After,5,20872.36
After,5,24357.208
After,5,27438.017
After,5,904.5
After,5,16921.488
After,5,14965.565
After,5,7970.615
After,5,7008.724
After,5,9802.571
After,5,16425.62
After,5,1827.365
After,5,10477.502
After,5,30828.742
After,5,17970.615
After,5,40805.785
After,5,9582.185
After,5,2031.68
After,5,6297.062
After,5,23278.237
After,5,15257.117
After,5,2697.429
After,5,801.194
After,5,23601.928
After,5,35020.661