Treatment,size
Before spawn,9781.91
Before spawn,37876.492
Before spawn,15893.021
Before spawn,44414.601
Before spawn,13140.496
Before spawn,14207.989
Before spawn,16157.025
Before spawn,49508.724
Before spawn,6799.816
Before spawn,36370.523
Before spawn,31503.673
Before spawn,21666.667
Before spawn,5748.393
Before spawn,5929.752
Before spawn,34499.541
Before spawn,38420.569
Before spawn,40002.296
Before spawn,28739.669
Before spawn,41742.424
Before spawn,6854.913
Before spawn,29662.534
Before spawn,42146.465
Before spawn,19375.574
Before spawn,11466.942
Before spawn,41326.905
Before spawn,18324.151
Before spawn,11976.584
Before spawn,13032.599
Before spawn,43758.035
Before spawn,33425.161
Before spawn,32224.518
Before spawn,14520.202
Before spawn,17527.548
Before spawn,6813.59
Before spawn,3021.12
Before spawn,25810.376
Before spawn,6446.281
Before spawn,46099.633
Before spawn,19217.172
Before spawn,26388.889
Before spawn,6965.106
Before spawn,27015.611
Before spawn,21099.633
Before spawn,8411.387
Before spawn,43360.882
Before spawn,15181.359
Before spawn,11914.601
Before spawn,4802.571
Before spawn,5966.483
Before spawn,24230.946
Before spawn,25757.576
Before spawn,21891.644
Before spawn,20695.592
Before spawn,12268.136
Before spawn,16177.686
Before spawn,8422.865
Before spawn,22984.389
Before spawn,11416.437
Before spawn,19104.683
Before spawn,14703.857
Before spawn,19334.252
Before spawn,53204.775
Before spawn,1460.055
Before spawn,15459.137
Before spawn,10142.332
Before spawn,7252.066
Before spawn,18677.686
Before spawn,18494.031
Before spawn,28847.567
Before spawn,28842.975
Before spawn,30293.848
Before spawn,33604.224
Before spawn,9598.255
Before spawn,21815.886
Before spawn,3608.815
Before spawn,36209.826
Before spawn,38452.709
Before spawn,1028.466
Before spawn,26354.454
Before spawn,15179.063
Before spawn,11301.653
Before spawn,18197.888
Before spawn,7757.117
Before spawn,10142.332
Before spawn,11983.471
Before spawn,5640.496
Before spawn,20801.194
Before spawn,14081.726
Before spawn,13266.758
Before spawn,36671.258
Before spawn,26375.115
Before spawn,12052.342
Before spawn,11769.972
Before spawn,32059.229
Before spawn,39582.185
Before spawn,4247.016
Before spawn,1758.494
Before spawn,38971.534
Before spawn,34625.803
Before spawn,36668.962
Before spawn,31423.324
Before spawn,10544.077
Before spawn,12500
Before spawn,4035.813
Before spawn,7750.23
Before spawn,16060.606
Before spawn,18064.738
Before spawn,31280.992
Before spawn,31859.504
Before spawn,5013.774
Before spawn,43925.62
Before spawn,14345.73
Before spawn,927.456
Before spawn,8829.201
Before spawn,6170.799
Before spawn,4439.853
Before spawn,6088.154
Before spawn,9779.614
Before spawn,5195.133
Before spawn,6196.051
Before spawn,26056.015
Before spawn,6519.743
Before spawn,1168.503
Before spawn,9641.873
Before spawn,7734.16
Before spawn,29010.56
Before spawn,32008.724
Before spawn,8011.938
Before spawn,3264.463
Before spawn,18971.534
Before spawn,7738.751
Before spawn,26347.567
Before spawn,39616.621
Before spawn,17922.406
Before spawn,33767.218
Before spawn,17300.275
Before spawn,54155.188
Before spawn,53810.836
Before spawn,21845.73
Before spawn,27233.701
Before spawn,59944.904
Before spawn,47963.728
Before spawn,46827.365
Before spawn,55537.19
Before spawn,41290.174
Before spawn,12894.858
Before spawn,4522.498
Before spawn,36262.626
Before spawn,32098.255
Before spawn,17265.84
Before spawn,9191.919
Before spawn,15828.742
Before spawn,18422.865
Before spawn,25557.851
Before spawn,6797.521
Before spawn,24334.252
Before spawn,30789.715
Before spawn,32819.1
Before spawn,21276.4
Before spawn,6905.418
Before spawn,14857.668
Before spawn,54185.032
Before spawn,38227.732
Before spawn,1974.288
Before spawn,3129.017
Before spawn,34717.631
Before spawn,19040.404
Before spawn,42610.193
Before spawn,41336.088
Before spawn,23861.341
Before spawn,7075.298
Before spawn,35723.14
Before spawn,5778.237
Before spawn,49407.713
Before spawn,7612.489
Before spawn,36352.158
Before spawn,2646.924
Before spawn,10893.021
Before spawn,14908.173
Before spawn,24882.92
Before spawn,36053.719
Before spawn,42187.787
Before spawn,34729.109
Before spawn,41831.956
Before spawn,57350.781
Before spawn,11228.191
Before spawn,59772.727
Before spawn,21485.308
Before spawn,24566.116
Before spawn,11476.125
Before spawn,56689.624
Before spawn,9003.673
Before spawn,27222.222
Before spawn,5831.038
Before spawn,5043.618
Before spawn,3349.403
Before spawn,3138.2
Before spawn,12362.259
Before spawn,49260.79
Before spawn,15153.811
Before spawn,17766.299
Before spawn,35573.921
Before spawn,14983.93
Before spawn,13227.732
Before spawn,11326.905
Before spawn,63737.374
Before spawn,9644.169
Before spawn,38764.922
Before spawn,13613.407
Before spawn,32004.132
Before spawn,14460.514
Before spawn,11421.028
Before spawn,24797.98
Before spawn,37102.847
Before spawn,6044.536
Before spawn,3544.536
Before spawn,31101.928
Before spawn,39970.156
Before spawn,25771.35
Before spawn,4196.511
Before spawn,5904.5
Before spawn,28615.702
Before spawn,49628.099
Before spawn,1958.219
Before spawn,17566.575
Before spawn,30723.14
Before spawn,45241.047
Before spawn,19485.767
Before spawn,22376.033
Before spawn,15300.735
Before spawn,22660.698
Before spawn,67020.202
Before spawn,47566.575
Before spawn,55906.795
Before spawn,24807.163
Before spawn,38126.722
Before spawn,44520.202
Before spawn,16687.328
Before spawn,31228.191
Before spawn,27876.492
Before spawn,15725.436
Before spawn,14226.354
Before spawn,4297.521
Before spawn,18356.29
Before spawn,50146.924
Before spawn,30686.41
Before spawn,53347.107
Before spawn,5865.473
Before spawn,6046.832
Before spawn,12029.385
Before spawn,10254.821
Before spawn,7548.209
Before spawn,5518.825
Before spawn,6090.45
Before spawn,6228.191
Before spawn,46499.082
Before spawn,9230.946
Before spawn,5550.964
Before spawn,5633.609
Before spawn,60713.958
Before spawn,59426.079
Before spawn,18191.001
Before spawn,25397.153
Before spawn,18937.098
Before spawn,64350.321
Before spawn,37350.781
Before spawn,16476.125
Before spawn,41124.885
Before spawn,56423.324
Before spawn,60688.705
Before spawn,28693.756
Before spawn,24467.401
Before spawn,18907.254
Before spawn,46099.633
Before spawn,35016.07
Before spawn,5872.36
Before spawn,7304.867
Before spawn,7219.927
Before spawn,4072.544
Before spawn,7913.223
Before spawn,5243.343
Before spawn,7488.522
Before spawn,8370.064
Before spawn,3976.125
Before spawn,10769.054
Before spawn,15945.822
Before spawn,11717.172
Before spawn,5245.638
Before spawn,36414.141
Before spawn,38259.871
Before spawn,57263.545
Before spawn,30098.714
Before spawn,69708.448
Before spawn,6994.949
Before spawn,48106.061
Before spawn,54485.767
Before spawn,62261.249
Before spawn,43914.141
Before spawn,4756.657
Before spawn,8360.882
Before spawn,44455.923
Before spawn,57415.06
Before spawn,69685.491
Before spawn,46577.135
Before spawn,4513.315
Before spawn,10709.366
Before spawn,45633.609
Before spawn,20296.143
Before spawn,18278.237
Before spawn,34198.806
Before spawn,18174.931
Before spawn,8824.61
Before spawn,54837.006
Before spawn,8165.748
Before spawn,6751.607
Before spawn,20812.672
Before spawn,71565.657
Before spawn,17213.039
Before spawn,41303.949
Before spawn,46522.039
Before spawn,7614.784
Before spawn,5431.589
Before spawn,3569.789
Before spawn,8829.201
Before spawn,49400.826
Before spawn,60156.107
Before spawn,12286.501
Before spawn,4444.444
Before spawn,60133.15
Before spawn,7591.827
Before spawn,6056.015
Before spawn,5080.349
Before spawn,3443.526
Before spawn,3122.13
Before spawn,18367.769
Before spawn,11623.049
Before spawn,15592.287
Before spawn,3402.204
Before spawn,59435.262
Before spawn,92681.359
Before spawn,16333.792
Before spawn,39164.371
Before spawn,37288.797
Before spawn,9288.338
Before spawn,7213.039
Before spawn,14155.188
Before spawn,15059.688
Before spawn,22513.774
Before spawn,25746.097
Before spawn,64497.245
Before spawn,2038.567
Before spawn,7272.727
Before spawn,109146.006
Before spawn,7759.412
Before spawn,5461.433
Before spawn,7401.286
Before spawn,13174.931
Before spawn,9993.113
Before spawn,3340.22
Before spawn,59481.175
Before spawn,15073.462
Before spawn,48076.217
Before spawn,36283.287
Before spawn,58305.785
Before spawn,10296.143
Before spawn,54814.05
Before spawn,22433.425
Before spawn,3193.297
Before spawn,5140.037
Before spawn,55897.612
Before spawn,7855.831
Before spawn,11850.321
Before spawn,12995.868
Before spawn,6609.275
Before spawn,5888.43
Before spawn,8179.522
Before spawn,90918.274
Before spawn,71320.018
Before spawn,3337.925
Before spawn,41225.895
Before spawn,75351.24
Before spawn,24054.178
Before spawn,46831.956
Before spawn,44517.906
Before spawn,7819.1
Before spawn,6409.55
Before spawn,16949.036
Before spawn,10858.586
Before spawn,28335.629
Before spawn,37885.675
Before spawn,44554.637
Before spawn,17860.422
Before spawn,36627.64
Before spawn,8725.895
Before spawn,16701.102
Before spawn,72532.14
Before spawn,3106.061
Before spawn,8372.36
Before spawn,57706.612
Before spawn,9040.404
Before spawn,43758.035
Before spawn,14056.474
Before spawn,58363.177
Before spawn,15073.462
Before spawn,54180.441
Before spawn,13842.975
Before spawn,14908.173
Before spawn,26675.849
Before spawn,16889.348
Before spawn,34995.409
Before spawn,3714.417
Before spawn,12027.089
Before spawn,28909.55
Before spawn,34366.391
Before spawn,41949.036
Before spawn,4295.225
Before spawn,15477.502
Before spawn,40727.732
Before spawn,4380.165
Before spawn,56960.514
Before spawn,3744.261
Before spawn,32249.77
Before spawn,48089.991
Before spawn,6140.955
Before spawn,47252.066
Before spawn,1354.454
Before spawn,20658.861
Before spawn,3535.354
Before spawn,30679.522
Before spawn,21880.165
Before spawn,509.642
Before spawn,13443.526
Before spawn,10968.779
Before spawn,7649.219
Before spawn,6558.77
Before spawn,2734.16
Before spawn,36772.268
Before spawn,28820.018
Before spawn,5084.94
Before spawn,20541.781
Before spawn,9905.877
Before spawn,33202.479
Before spawn,68551.423
Before spawn,3273.646
Before spawn,38895.776
Before spawn,25879.247
Before spawn,43170.34
Before spawn,21861.8
Before spawn,39453.627
Before spawn,22727.273
Before spawn,4026.63
Before spawn,867.769
Before spawn,4198.806
Before spawn,2665.289
Before spawn,45736.915
Before spawn,65943.526
Before spawn,44908.173
Before spawn,32327.824
Before spawn,24455.923
Before spawn,43817.723
Before spawn,38241.506
Before spawn,9044.995
Before spawn,3585.859
Before spawn,34097.796
Before spawn,1988.062
Before spawn,23891.185
Before spawn,38927.916
Before spawn,5943.526
Before spawn,40716.253
Before spawn,40975.666
Before spawn,5291.552
Before spawn,6209.826
Before spawn,40371.901
Before spawn,19797.98
Before spawn,43535.354
Before spawn,16356.749
Before spawn,5691.001
Before spawn,47252.066
Before spawn,36877.87
Before spawn,7812.213
Before spawn,3255.28
Before spawn,62713.499
Before spawn,29049.587
Before spawn,1276.4
Before spawn,19692.378
Before spawn,15730.028
Before spawn,1483.012
Before spawn,2004.132
Before spawn,69015.152
Before spawn,6597.796
Before spawn,37727.273
Before spawn,39152.893
Before spawn,26221.304
Before spawn,57254.362
Before spawn,49676.309
Before spawn,13514.692
After spawn,5222.681
After spawn,2963.728
After spawn,2268.136
After spawn,8193.297
After spawn,11290.174
After spawn,3195.592
After spawn,7151.056
After spawn,12764.004
After spawn,11733.242
After spawn,45881.543
After spawn,6581.726
After spawn,17646.924
After spawn,3188.705
After spawn,1386.593
After spawn,21033.058
After spawn,4481.175
After spawn,1609.275
After spawn,47759.412
After spawn,752.984
After spawn,42881.084
After spawn,38698.347
After spawn,21179.982
After spawn,12768.595
After spawn,18259.871
After spawn,3250.689
After spawn,1873.278
After spawn,20633.609
After spawn,10390.266
After spawn,20803.489
After spawn,46466.942
After spawn,38934.803
After spawn,20943.526
After spawn,25709.366
After spawn,4993.113
After spawn,10312.213
After spawn,2408.173
After spawn,9074.839
After spawn,3179.522
After spawn,8053.26
After spawn,9857.668
After spawn,8611.111
After spawn,10107.897
After spawn,16678.145
After spawn,17086.777
After spawn,16884.757
After spawn,1831.956
After spawn,10909.091
After spawn,15094.123
After spawn,3117.539
After spawn,9081.726
After spawn,12878.788
After spawn,10119.376
After spawn,12153.352
After spawn,5530.303
After spawn,10156.107
After spawn,53397.612
After spawn,5748.393
After spawn,14876.033
After spawn,2311.754
After spawn,2894.858
After spawn,8553.719
After spawn,20307.622
After spawn,18879.706
After spawn,12256.657
After spawn,20814.968
After spawn,1393.48
After spawn,2134.986
After spawn,8161.157
After spawn,49175.849
After spawn,19476.584
After spawn,15234.16
After spawn,9784.206
After spawn,9983.93
After spawn,17741.047
After spawn,22481.635
After spawn,18115.243
After spawn,2357.668
After spawn,11320.018
After spawn,32504.591
After spawn,10190.542
After spawn,28886.593
After spawn,11666.667
After spawn,18122.13
After spawn,43475.666
After spawn,53735.078
After spawn,15752.984
After spawn,12479.339
After spawn,15055.096
After spawn,13801.653
After spawn,13801.653
After spawn,11951.331
After spawn,17258.953
After spawn,5893.021
After spawn,7578.053
After spawn,4345.73
After spawn,1253.444
After spawn,4820.937
After spawn,6184.573
After spawn,11005.51
After spawn,3011.938
After spawn,5252.525
After spawn,6065.197
After spawn,2132.691
After spawn,12511.478
After spawn,4811.754
After spawn,9524.793
After spawn,37242.883
After spawn,10401.745
After spawn,46673.554
After spawn,41884.757
After spawn,5280.073
After spawn,8367.769
After spawn,8317.264
After spawn,60466.024
After spawn,30833.333
After spawn,6710.285
After spawn,1664.371
After spawn,1701.102
After spawn,3941.69
After spawn,1124.885
After spawn,5137.741
After spawn,1932.966
After spawn,4106.979
After spawn,11586.318
After spawn,21756.198
After spawn,2747.934
After spawn,13624.885
After spawn,38826.905
After spawn,2082.185
After spawn,24834.711
After spawn,12215.335
After spawn,19568.411
After spawn,15640.496
After spawn,7001.837
After spawn,32936.18
After spawn,2300.275
After spawn,10371.901
After spawn,8477.961
After spawn,33181.818
After spawn,1962.81
After spawn,2203.857
After spawn,7910.927
After spawn,3294.307
After spawn,1836.547
After spawn,9864.555
After spawn,5259.412
After spawn,33124.426
After spawn,30325.987
After spawn,14104.683
After spawn,3347.107
After spawn,36340.68
After spawn,4717.631
After spawn,21037.649
After spawn,27807.622
After spawn,8774.105
After spawn,7497.704
After spawn,41239.669
After spawn,9908.173
After spawn,9591.368
After spawn,12199.265
After spawn,27612.489
After spawn,32511.478
After spawn,1202.938
After spawn,13696.051
After spawn,11643.71
After spawn,3321.855
After spawn,6671.258
After spawn,7803.03
After spawn,18907.254
After spawn,6531.221
After spawn,26852.617
After spawn,6457.759
After spawn,3879.706
After spawn,14915.06
After spawn,4637.282
After spawn,5358.127
After spawn,7206.152
After spawn,14889.807
After spawn,16533.517
After spawn,12667.585
After spawn,4488.062
After spawn,4965.565
After spawn,35798.898
After spawn,5325.987
After spawn,2077.594
After spawn,34120.753
After spawn,1384.298
After spawn,2904.04
After spawn,2582.645
After spawn,1455.464
After spawn,2793.848
After spawn,11244.261
After spawn,35309.917
After spawn,11370.523
After spawn,6345.271
After spawn,15426.997
After spawn,4648.76
After spawn,2525.253
After spawn,4504.132
After spawn,3684.573
After spawn,1836.547
After spawn,1737.833
After spawn,2571.166
After spawn,10344.353
After spawn,10477.502
After spawn,30812.672
After spawn,11875.574
After spawn,32467.86
After spawn,22038.567
After spawn,32669.881
After spawn,23305.785
After spawn,37853.535
After spawn,8402.204
After spawn,3950.872
After spawn,9341.139
After spawn,14407.713
After spawn,11838.843
After spawn,22646.924
After spawn,12249.77
After spawn,24407.713
After spawn,14455.923
After spawn,20943.526
After spawn,11946.74
After spawn,32229.109
After spawn,5603.765
After spawn,34286.042
After spawn,14387.052
After spawn,9426.079
After spawn,6595.5
After spawn,21097.337
After spawn,9125.344
After spawn,19912.764
After spawn,16333.792
After spawn,37325.528
After spawn,12876.492
After spawn,14896.694
After spawn,5365.014
After spawn,54641.873
After spawn,12458.678
After spawn,6168.503
After spawn,15121.671
After spawn,18707.53
After spawn,12626.263
After spawn,33769.513
After spawn,23165.748
After spawn,20544.077
After spawn,4715.335
After spawn,16808.999
After spawn,34903.581
After spawn,1641.414
After spawn,14313.59
After spawn,29758.953
After spawn,9898.99
After spawn,3083.104
After spawn,9210.285
After spawn,10828.742
After spawn,40466.024
After spawn,12054.637
After spawn,8960.055
After spawn,7557.392
After spawn,34393.939
After spawn,15238.751
After spawn,12497.704
After spawn,12114.325
After spawn,20509.642
After spawn,7897.153
After spawn,4977.043
After spawn,8810.836
After spawn,38448.118
After spawn,33512.397
After spawn,6179.982
After spawn,18438.935
After spawn,5080.349
After spawn,6189.164
After spawn,2247.475
After spawn,4407.713
After spawn,12959.137
After spawn,15984.848
After spawn,18581.267
After spawn,4104.683
After spawn,4040.404
After spawn,8115.243
After spawn,4763.545
After spawn,507.346
After spawn,5959.596
After spawn,25174.472
After spawn,20022.957
After spawn,12640.037
After spawn,1815.886
After spawn,22077.594
After spawn,23909.55
After spawn,4008.264
After spawn,20298.439
After spawn,2240.588
After spawn,5952.709
After spawn,12513.774
After spawn,19731.405
After spawn,2786.961
After spawn,7029.385
After spawn,4423.783
After spawn,7757.117
After spawn,13643.251
After spawn,6078.972
After spawn,9735.996
After spawn,6926.079
After spawn,10135.445
After spawn,23487.144
After spawn,32314.05
After spawn,18145.087
After spawn,2860.422
After spawn,1659.78
After spawn,23415.978
After spawn,15192.837
After spawn,2382.92
After spawn,3709.826
After spawn,8184.114
After spawn,14460.514
After spawn,5319.1
After spawn,6567.952
After spawn,11345.271
After spawn,30144.628
After spawn,21701.102
After spawn,4056.474
After spawn,6664.371
After spawn,6464.646
After spawn,8011.938
After spawn,2479.339
After spawn,5011.478
After spawn,2589.532
After spawn,3971.534
After spawn,4242.424
After spawn,4552.342
After spawn,3211.662
After spawn,13714.417
After spawn,2022.498
After spawn,6717.172
After spawn,6496.786
After spawn,12213.039
After spawn,2109.734
After spawn,33204.775
After spawn,29251.607
After spawn,29715.335
After spawn,27378.329
After spawn,9003.673
After spawn,11698.806
After spawn,2460.973
After spawn,4008.264
After spawn,6225.895
After spawn,30257.117
After spawn,4348.026
After spawn,15098.714
After spawn,19072.544
After spawn,6101.928
After spawn,8787.879
After spawn,11115.702
After spawn,6170.799
After spawn,6623.049
After spawn,25686.41
After spawn,23457.3
After spawn,8861.341
After spawn,7190.083
After spawn,3638.659
After spawn,8420.569
After spawn,3705.234
After spawn,6971.993
After spawn,18317.264
After spawn,30537.19
After spawn,3526.171
After spawn,3682.277
After spawn,6744.72
After spawn,9416.896
After spawn,17116.621
After spawn,34412.305
After spawn,4263.085
After spawn,3792.47
After spawn,16958.219
After spawn,1923.783
After spawn,2949.954
After spawn,9042.7
After spawn,21726.354
After spawn,4439.853
After spawn,5883.838
After spawn,4857.668
After spawn,5539.486
After spawn,7353.076
After spawn,37178.604
After spawn,1499.082
After spawn,13468.779
After spawn,33503.214
After spawn,19928.834
After spawn,10431.589
After spawn,20000
After spawn,23487.144
After spawn,6400.367
After spawn,22245.179
After spawn,10162.994
After spawn,13179.522
After spawn,10484.389
After spawn,24772.727
After spawn,10856.29
After spawn,19012.856
After spawn,33131.313
After spawn,36117.998
After spawn,8303.489
After spawn,7224.518
After spawn,9288.338
After spawn,11019.284
After spawn,3340.22
After spawn,610.652
After spawn,3363.177
After spawn,3521.579
After spawn,7685.95
After spawn,9279.155
After spawn,3078.512
After spawn,4189.624
After spawn,8310.376
After spawn,5381.084
After spawn,4513.315
After spawn,6274.105
After spawn,7224.518
After spawn,10787.42
After spawn,7736.455
After spawn,8427.456
After spawn,1336.088
After spawn,4306.703
After spawn,1251.148
After spawn,9258.494
After spawn,2199.265
After spawn,5176.768
After spawn,5328.283
After spawn,7718.09
After spawn,3691.46
After spawn,8126.722
After spawn,10445.363
After spawn,9428.375
After spawn,6248.852
After spawn,8388.43
After spawn,2341.598
After spawn,6753.903
After spawn,6285.583
After spawn,6441.69
After spawn,9947.199
After spawn,8415.978
After spawn,1464.646
After spawn,12139.578
After spawn,20872.36
After spawn,24357.208
After spawn,27438.017
After spawn,904.5
After spawn,16921.488
After spawn,14965.565
After spawn,7970.615
After spawn,7008.724
After spawn,9802.571
After spawn,16425.62
After spawn,1827.365
After spawn,10477.502
After spawn,30828.742
After spawn,17970.615
After spawn,40805.785
After spawn,9582.185
After spawn,2031.68
After spawn,6297.062
After spawn,23278.237
After spawn,15257.117
After spawn,2697.429
After spawn,801.194
After spawn,23601.928
After spawn,35020.661
